北京市,110000,110000,1792520
北京市,110000,110000,1809104
北京市,110000,110000,1811227
北京市,110000,110000,1811542
北京市,110000,110000,1816670
北京市,110000,110000,2035469
北京市,110000,110000,2036766
北京市,110000,110000,2038154
北京市,110000,110000,2038349
天津市,120000,120000,1787646
天津市,120000,120000,1792943
天津市,120000,120000,1792947
天津市,120000,120000,1912606
保定市,130600,130000,1783851
邢台市,130500,130000,1787005
邢台市,130500,130000,1788927
保定市,130600,130000,1793307
衡水市,131100,130000,1795578
邢台市,130500,130000,1796421
廊坊市,131000,130000,1796823
沧州市,130900,130000,1797181
保定市,130600,130000,1797401
秦皇岛市,130300,130000,1797595
保定市,130600,130000,1802810
廊坊市,131000,130000,1804540
衡水市,131100,130000,1805567
石家庄市,130100,130000,1806656
沧州市,130900,130000,1807469
衡水市,131100,130000,1808392
保定市,130600,130000,1808773
张家口市,130700,130000,1808775
邯郸市,130400,130000,1808963
廊坊市,131000,130000,1810021
石家庄市,130100,130000,1810598
保定市,130600,130000,1810614
石家庄市,130100,130000,1812647
沧州市,130900,130000,1816080
廊坊市,131000,130000,1816832
保定市,130600,130000,1816971
保定市,130600,130000,1911837
张家口市,130700,130000,2033196
张家口市,130700,130000,2033881
承德市,130800,130000,2034048
晋中市,140700,140000,1785614
运城市,140800,140000,1785738
忻州市,140900,140000,1786060
朔州市,140600,140000,1786559
晋城市,140500,140000,1787353
晋城市,140500,140000,1787667
忻州市,140900,140000,1788450
运城市,140800,140000,1789586
太原市,140100,140000,1793511
临汾市,141000,140000,1794311
朔州市,140600,140000,1794328
阳泉市,140300,140000,1795269
太原市,140100,140000,1795912
晋中市,140700,140000,1797431
太原市,140100,140000,1797630
长治市,140400,140000,1798688
临汾市,141000,140000,1803567
晋中市,140700,140000,1805833
临汾市,141000,140000,1806624
运城市,140800,140000,1808593
长治市,140400,140000,1808956
晋城市,140500,140000,1810435
吕梁市,141100,140000,1811116
运城市,140800,140000,1816671
临汾市,141000,140000,1910909
晋城市,140500,140000,1911136
大同市,140200,140000,2037799
鄂尔多斯市,150600,150000,1812256
通辽市,150500,150000,2034400
包头市,150200,150000,2035607
巴彦淖尔市,150800,150000,2036071
乌兰察布市,150900,150000,2036458
呼和浩特市,150100,150000,2036892
呼伦贝尔市,150700,150000,2037078
赤峰市,150400,150000,2038067
包头市,150200,150000,2038432
鄂尔多斯市,150600,150000,8347664
大连市,210200,210000,1814087
丹东市,210600,210000,1814470
丹东市,210600,210000,1816664
大连市,210200,210000,1921342
锦州市,210700,210000,2033336
沈阳市,210100,210000,2033675
铁岭市,211200,210000,2034439
沈阳市,210100,210000,2034937
辽阳市,211000,210000,2036113
沈阳市,210100,210000,2036115
丹东市,210600,210000,2036283
锦州市,210700,210000,2036427
葫芦岛市,211400,210000,2036662
鞍山市,210300,210000,2037086
营口市,210800,210000,2037153
阜新市,210900,210000,2037346
抚顺市,210400,210000,2037355
营口市,210800,210000,2037823
沈阳市,210100,210000,2037858
丹东市,210600,210000,2037886
朝阳市,211300,210000,2038120
本溪市,210500,210000,2038300
鞍山市,210300,210000,2038632
营口市,210800,210000,2053180
盘锦市,211100,210000,10794003
长春市,220100,220000,2033242
延边朝鲜族自治州,222400,220000,2035966
长春市,220100,220000,2036500
吉林市,220200,220000,2036502
吉林市,220200,220000,2036536
吉林市,220200,220000,2036776
长春市,220100,220000,2038180
白城市,220800,220000,2038569
延边朝鲜族自治州,222400,220000,7545962
伊春市,230700,230000,2033413
绥化市,231200,230000,2034655
双鸭山市,230500,230000,2034786
哈尔滨市,230100,230000,2034834
哈尔滨市,230100,230000,2035002
七台河市,230900,230000,2035261
齐齐哈尔市,230200,230000,2035265
牡丹江市,231000,230000,2035702
牡丹江市,231000,230000,2035715
鸡西市,230300,230000,2035746
鸡西市,230300,230000,2036389
佳木斯市,230800,230000,2036581
哈尔滨市,230100,230000,2036965
黑河市,231100,230000,2036973
鹤岗市,230400,230000,2036986
哈尔滨市,230100,230000,2037013
牡丹江市,231000,230000,2037075
双鸭山市,230500,230000,2038438
绥化市,231200,230000,2038650
哈尔滨市,230100,230000,7629132
上海市,310100,310000,1783920
上海市,310100,310000,1787957
上海市,310100,310000,1796231
上海市,310100,310000,1796236
上海市,310100,310000,1798439
上海市,310100,310000,1800480
上海市,310200,310000,1814915
上海市,310200,310000,1887325
扬州市,321000,320000,1548884
镇江市,321100,320000,1784642
苏州市,320500,320000,1785623
徐州市,320300,320000,1785716
无锡市,320200,320000,1786760
扬州市,321000,320000,1787227
苏州市,320500,320000,1787331
盐城市,320900,320000,1787746
徐州市,320300,320000,1787824
连云港市,320700,320000,1788694
徐州市,320300,320000,1789022
无锡市,320200,320000,1790923
南京市,320100,320000,1793349
泰州市,321200,320000,1793505
